id,charity_name,logo,rating,financial_transparency,results_reporting,cents_to_cause,city,province,website,Tel,main_category,sub_category,new_overview,new_results_and_impact
65,Distress Centres of Greater Toronto,https://www.charityintelligence.ca/media/charity_logos/DCGTlogo.jpg,4,2,B+,87%,Toronto,ON,www.dcogt.com,,Social Services,,"Distress Centres of Greater Toronto is a 4-star charity with average demonstrated impact. It has an above average results reporting grade and it is financially transparent. Founded in 1967, Distress Centres of Greater Toronto (DCGT) operates several 24-hour hotlines for crisis intervention, emotional support, and suicide prevention. These supports are also available through online chat and text. DCGT’s programming is largely delivered by trained volunteers who are supervised by professional staff. DCGT merged with Brampton-based Spectra Community Support Services in May 2019, which allowed DCGT's services to expand to include multilingual language lines, enhanced support for isolated seniors, and a transitional support program for those aged 16+. The charity reports that approximately 4,000 people take their own life by suicide in Canada each year, and for every suicide loss, there are an estimated 20-25 attempts made. The charity has multiple helplines tailored to clients in varying levels and categories of distress. DCGT also runs outreach programs that call isolated seniors and at-risk individuals to check-in. No breakdown of spending by program was provided by the charity. In F2022, DCGT provided over 160,000 helping interactions, down from 186,000 in F2021. 408-Help Line is Distress Centres of Greater Toronto's biggest helpline, receiving 35,630 calls in F2022. This program covers a broad range of support services, including mental health support, crisis intervention, family violence response, and suicide prevention. In F2022, 55% of callers were provided with emotional support and distress management and 12% of callers were provided with mental health support.  Multilingual Lines is DCGT's second-biggest helpline, providing support in eight languages: English, Cantonese, Mandarin, Portuguese, Spanish, Hindi, Punjabi, and Urdu. The program answered 25,751 calls related to loneliness/social contact (66%), relationships (52%), isolation (38%), self-esteem/self-worth (34%), and other issues. The charity also runs other helpline services. Talk Suicide, which focuses on individuals at risk of suicide, answered 14,471 texts and calls in F2022. Partnership Lines, a program that works with the TTC to encourage anyone contemplating suicide to contact DCGT, answered 1,787 calls.  DCGT also runs outreach programs that call clients to provide safety check-ins, medication reminders, and emotional support. The Tele Check and Caller Reassurance programs supported 414 and 98 seniors in need respectively in F2022. Touching Base program provides similar support to 269 clients with mental health concerns in F2022.",Distress Centres of Greater Toronto reports that 25% of 408-Help Line callers experienced a decrease in isolation and loneliness and 37% reduced emotional intensity following the conversation with DCGT staff in F2022. DCGT's Multilingual Lines service helped 162 calls (0.6%) de-escalate an immediate crisis and 277 calls (1%) decrease harmful intentions.
66,Doctors Without Borders,https://www.charityintelligence.ca/media/charity_logos/DWB_colour_72.jpg,5,2,B+,79%,Toronto,ON,www.msf.ca,416-964-0619,International Aid,"Humanitarian Relief and Disaster Response, Healthcare and Medical Services","Doctors Without Borders Canada is a top-rated, 5-star charity. It has High impact and is a Top International Impact charity. Doctors Without Borders is consistently one of Charity Intellignece's top pick charities in emergency situations and crisis response, with a great track record in speed, effectiveness and reporting.  Founded in 1971, Doctors Without Borders / Médecins Sans Frontières (MSF) aims to reduce suffering, save lives, and provide medical care where it is needed most. It comprises 24 national offices, which work in more than 65 countries. MSF’s charter states that it helps people regardless of their race, religion, or political affiliation. Doctors Without Borders Canada (MSF Canada) is the Canadian branch of MSF, funding projects in 34 countries around the world. Ci's special report on Ukraine: How to help A Charity Intelligence 2022 Top 10 International Aid Impact Charity Doctors Without Borders focuses on providing medical care to victims of armed conflict, epidemics, forced migration, and disasters. It runs both immediate humanitarian relief projects and longer-term medical programs that treat diseases such as cholera, HIV/AIDS, and measles. Finally, MSF’s advocacy arm raises awareness on issues relating to human rights abuses and healthcare inequality. MSF Canada provides spending figures by country, not broken down by program area. In 2020, MSF provided 9,904,200 outpatient consultations, facilitated 1,026,900 emergency room admissions, and assisted 306,800 births. It provided 112,000 outpatient consultations for covid-19 and admitted 15,400 covid-19 patients. It also treated 2,690,600 malaria cases and 8,300 cholera cases. In 2020, the charity’s three largest focus countries, in order of program spending, were the Democratic Republic of the Congo, South Sudan, and Yemen. In the Democratic Republic of the Congo, MSF provided humanitarian and medical assistance in 16 of 26 provinces. MSF conducted 1,694,100 outpatient consultations, provided 567,800 vaccinations against measles, and treated 4,140 people for cholera. MSF helped respond to an Ebola outbreak and treated 199 Ebola patients. MSF’s projects in South Sudan supported 7.5m people in need of humanitarian assistance due to escalating violence, covid-19, severe flooding, and food insecurity. MSF ran 16 projects in South Sudan in 2020. In response to severe flooding, MSF distributed 60,000 litres of drinking water per day where floodwater contaminated wells. MSF conducted 688,000 outpatient consultations, treated 195,300 malaria cases, and admitted 54,300 people to the hospital. In Yemen, MSF staff run 12 hospitals and health centres to help victims of the Yemeni Civil War, which has been ongoing since September 2014. It also provides funding and support to 24 other health centres across 13 states. In January 2020, a patient in an MSF-supported hospital in Taiz City was killed. This type of violence made it difficult for MSF to help those in need. In 2020, MSF conducted 250,300 outpatient consultations, performed 26,600 medical interventions, and assisted 23,400 births.",Doctors Without Borders Canada has not yet posted its 2021 annual report at the time of this update. These results refer to 2020.
67,Downtown Mission of Windsor,https://www.charityintelligence.ca/media/charity_logos/logo%20downtown%20mission%20windsor.png,4,2,B,81%,Windsor,ON,www.downtownmission.com,519-973-5573,Social Services,"Homelessness and housing assistance, Youth programs, Food banks and hunger relief, Rehabilitation centers and addiction services","Downtown Mission of Windsor is a 4-star charity. It is financially transparent and has overhead costs within Ci's reasonable range and an average results reporting. Founded in 1972, Downtown Mission of Windsor (Downtown Mission), formerly known as the United Church Downtown Mission of Windsor, is a Christian charity that supports poor and homeless people in Windsor, Ontario. The charity states that approximately 200 people are homeless in Windsor-Essex every night. Downtown Mission runs five programs: sanctuary, food support, enterprise, youth services, and wellness. Its head office is in Windsor, ON. Sanctuary program – 48% of program cost: The sanctuary program provides emergency overnight shelter for homeless people. The charity offers residents free showers, clothing, and hygiene supplies during their stay. In F2022, Downtown Mission provided 26,187 overnight stays. In F2022, 12,908 adults and 1,143 youth received clothing and hygiene supplies. Food Support – 25% of program cost: Food Support services include hot meals, a food bank, and the FRESH program. The FRESH program rescues food from local farmers and grocery stores and delivers them to schools, food banks, and other organizations. In F2022, Downtown Mission saved 1,935,101 pounds of food and distributed it to 25 local schools and agencies. The charity also served 103,221 hot meals and provided 316,365 meals through its food bank in F2022. Enterprise program – 12% of program cost: The Enterprise Program enables participants to target their career goals, receive training, and develop employment skills. The charity reports that it helped 48 individuals become “job-ready” in F2022. Youth Centre – 11% of program cost: The Windsor Youth Centre supported 2,782 youth in F2022 and referred 362 youth to partner agencies. Wellness program – 4% of program cost: The Wellness program supports people with drug addictions. In F2022, the charity supported 175 adults and 180 youth through their recovery journey.","In F2022, Downtown Mission of Windsor reports that it reversed 121 opioid overdoses in F2022, compared to 128 in F2021. The charity also found permanent housing for 51 homeless people during the same year."
68,Ducks Unlimited Canada,https://www.charityintelligence.ca/media/charity_logos/1.png,4,2,A,73%,Stonewall,MB,www.ducks.ca,1-800-655-3825,Environment,"Nature conservation, Environmental education and awareness","Ducks Unlimited Canada is a 4-star charity with an above-average results reporting grade. The charity has reasonable overhead costs and is financially transparent.  Founded in 1938, Ducks Unlimited Canada (DUC) works to “conserve, restore, and manage wetlands and other habitats for North America’s waterfowl.” DUC says that wetlands are one of the most important ecosystems on the planet, but up to 70 percent of wetlands have been lost in settled areas of Canada. Ducks Unlimited Canada is affiliated with the US-based Ducks Unlimited and the two charities collaborate on some projects. In Canada, DUC states that it has influenced 228.2 million acres of land, conserved and restored 6.2 million acres and completed 12,329 habitat conservation projects since 1938. Its head office is in Winnipeg, MB. Ducks Unlimited Canada’s spending on programs includes habitat conservation and revolving land; and research, education and government relations. Habitat Conservation and Revolving Land – 92% of total program spending: DUC’s habitat conservation projects include work with wetlands, grasslands, water, waterfowl, wildlife, and Canada’s Boreal in all provinces across the country. In F2022, DUC conserved 109,062 acres of land, including 40,837 acres restored. It also influenced 33.7 million acres of land through partnership and policy. In F2023, the charity aims to conserve 145,346 acres of land and influence 4.1 million acres across the country. Research, Education, and Government Relations – 8% of total program spending: Along with its conservation work, DUC also approaches the problem of the ecosystem through science, education, and policy. Its research projects focus on habitats that support waterfowl populations and how those lands affect other wildlife and improve human lives. Since 1938, it has led or participated in more than 300 studies throughout North America, generating nearly 750 scientific publications. For Education, in F2022, DUC launched two new Wetland Centres of Excellence, teaching students conservation knowledge like planting native species, testing water quality, and exploring wildlife. For Advocacy, the charity has a long history of influencing large-scale conservation programs in Canada.","Ducks Unlimited Canada reports that it secures important at-risk wetlands, restores those that have been damaged and drained, and manages the areas under its care. DUC conserved a total of 109,062 acres of habitat and positively influenced 33.7 million acres of habitat across Canada in F2022."
69,Earth Rangers Foundation,https://www.charityintelligence.ca/media/charity_logos/earth_rangers_logo.jpg,4,2,B,71%,Woodbridge,ON,www.earthrangers.org,905-417-3447,Animal Welfare,Increasing public awareness�,"Earth Rangers Foundation is a 4-star rated, financially transparent charity. It has an average results reporting grade and its overhead spending is within Ci’s reasonable range. The charity has $3.9m in reserve funds, which can cover 11 months of program costs. Founded in 2000, Earth Rangers Foundation (Earth Rangers) aims to create a generation of conservationists. Earth Rangers reports that the biggest environmental concern for children is protecting animals from extinction. The charity teaches children about the environment and animals and encourages optimism about the future. Earth Rangers Foundation has three main programs: the School Assembly program, The Earth Rangers program, and Conservation. The charity does not disclose how much it spends on each program. The School Assembly program delivers in-person and online school assemblies and class presentations for children in grades one to six. The program features live animals and teaches students about biodiversity and conservation initiatives in Canada. In F2022, Earth Rangers delivered 722 school presentations. Since 2010, the School Assembly program has reached 2,151,904 students. The program also has educational resources such as the Earth Rangers podcast. The podcast had 1,405,000 downloads in F2022. The Earth Rangers program requires children to sign up to become an Earth Ranger. The charity provides its members with activities, communications, and conservation projects through the Earth Rangers app. Members receive tasks focused on environmental issues, called missions. In F2022, 32,000 new members signed up and members completed a total of 92,700 missions. They logged 381,400 climate-friendly habits, 107,000 of which related to reducing energy usage at home and 122,000 of which were forest-friendly habits. Earth Rangers Foundation’s Conservation program works with other organizations and researchers to protect species and habitats at risk in Canada. In F2022, the charity supported seven conservation projects. Funds are raised through the sale of adoption kits. Each adoption kit purchase represents the symbolic adoption of an endangered animal. The charity reports 4,200 symbolic adoptions in F2022.",
70,East York Learning Experience,https://www.charityintelligence.ca/media/charity_logos/EYLE_Logo.jpg,5,2,A-,96%,Toronto,ON,www.eyle.toronto.on.ca,416-425-2666,Education,Schools and education institutions��,"East York Learning Experience is a 5-star charity with an above-average results reporting score and High demonstrated impact. It is financially transparent and has overhead spending outside Ci's reasonable range.  Founded in 1987, East York Learning Experience (EYLE) helps adults improve their reading, writing, basic math, and digital literacy skills. The charity reports that 42% of Canadian adults between 16-65 years old have low literacy skills that prevent them from applying for jobs, reading the newspaper, writing letters, filling out forms, and banking. EYLE’s programming consists of one-on-one tutoring sessions with trained volunteer tutors to improve literacy and numeracy skills. Since 1987, EYLE has helped over 1,200 people improve their lives. A Charity Intelligence 2022 Top 10 Canadian Impact Charity Through its education services, EYLE manages 40-50 active learner/tutor pairs at a time. EYLE’s services are offered free of charge to clients and follow the Ontario Adult Literacy Curriculum Framework. After a student leaves the program, EYLE follows up with them at the 3, 6 and 12-month mark to monitor their success. Staff develop an individualized training plan for each student based on their background, former education, work experience, goals, and literacy assessment results. The charity teaches reading, writing, numeracy, critical thinking, oral communication, and computer use/digital skills. EYLE hopes to provide students with the foundation for learning other skills, allowing them to find and maintain a job. EYLE reports that it operates efficiently by using a modest budget to support a team of volunteers. EYLE has a team of 60 volunteer tutors who give an estimated $130,000 in tutoring hours each year. The charity reports that if it were to pay its volunteers, its costs would rise by 87%. The volunteers allow the charity to operate with only two full-time and two part-time paid staff. EYLE operates out of a low-rent facility designed specifically for nonprofits to further keep costs down.",East York Learning Experience reports that 4% of the clients who exited its program in F2022 found employment. A further 39% transitioned to further training/education such as adult high school or college.
71,Ecojustice,https://www.charityintelligence.ca/media/charity_logos/Ecojustice%20Logo.jpg,4,2,B-,77%,Vancouver,BC,www.ecojustice.ca,604-685-5618,Environment,"Climate change, Animal protection, Nature conservation  ","Ecojustice is a 4-star rated charity with a below-average results reporting score. It is financially transparent and has overhead costs within Ci’s reasonable range. Founded in 1991, Ecojustice uses legal action to defend nature and fight climate change. Through its legal cases, Ecojustice aims to establish laws and rulings that protect environmental rights. The charity’s main office is in Vancouver, with four regional offices in Calgary, Halifax, Ottawa, and Toronto. Ecojustice has fought a total of 113 cases, of which 58 were victorious, 32 are in progress, 21 are closed, and two are under appeal. Ecojustice groups its advocacy into three main program areas: Climate, Healthy Communities, and Nature. It did not provide a spending breakdown for its programs in F2022. Ecojustice’s Climate program pursues legal action relating to global warming, carbon emissions, and weak climate regulation. The charity advocates for serious climate action to stop the long-term effects of climate change. The Healthy Communities program involves legal cases that deal with pollution, chemical waste, and local sustainability. The charity’s Nature program urges governments to protect oceans, watersheds, forests, and other vital habitats. Ecojustice also protects national parks from projects that would threaten native wildlife.","Under its Climate program, Ecojustice helped propose Bill C-12 (Canadian Net-Zero Emissions Accountability Act), which was passed in June 2021. This Act requires that the federal government hold all levels of government accountable for reducing greenhouse gas emissions."
72,Ecotrust Canada,https://www.charityintelligence.ca/media/charity_logos/Ecotrust_Canada_Logo_2020.png,5,2,A-,88%,Vancouver,BC,www.ecotrust.ca,604-682-4141,Environment,"Animal protection, Climate change","Ecotrust Canada is a 5-star charity with an above-average results reporting grade. It is financially transparent and its overhead spending is within Ci’s reasonable range. The charity has reserve funds of $4.0m which can cover a year and two months of annual program costs. Founded in 1995, Ecotrust Canada aims to create a sustainable economy in Canada by funding innovative solutions to environmental and social problems. The charity works with rural, remote, and Indigenous communities to develop methods of improving sustainability. In F2022, Ecotrust Canada had five main programs: Community Fisheries, Food Systems, Community Energy, Climate Innovation, and Indigenous Homelands. In F2022, Ecotrust Canada spent 36% of program costs on Community Fisheries. The charity aims to build a sustainable and vibrant commercial fishery system in BC by advocating for policy change, managing local fisheries, and stopping illegal fishing. Food Systems represented 17% of program costs in F2022. Through this program, the charity aims to improve food access and security in Prince Rupert and the Pacific Northwest of BC. In F2022, Community Energy represented 14% of program costs. This program uses clean energy solutions to put an end to energy poverty. Climate Innovation represented 11% of program spending in F2022. Through this program, the charity works with rural and Indigenous communities to mitigate climate change and support biodiversity. In F2022, the charity allocated 8% of program spending to Indigenous Homelands. The program supports Indigenous groups in developing culturally, environmentally, and economically resilient housing and land governance practices. The remaining 14% of program costs consisted of Strategy and Community Development (8%), and Social Enterprises (6%).","In F2022, Ecotrust Canada recorded around 4.3 million sockeye salmon returning to the Skeena River, the highest number in 15 years. The charity reports that the wild salmon industry in British Colombia employs over 6,600 people."
73,Eden Food for Change,https://www.charityintelligence.ca/media/charity_logos/Eden-Food-For-Change-Logo.jpg,5,2,A-,80%,Mississauga,ON,www.edenffc.org,905-785-3651,Social Services,Food banks and hunger relief,"Founded in 2002, Eden Food for Change (EFFC) hopes to increase access to good food in a dignified manner, to develop food skills to encourage healthy eating and to empower the community through education, outreach and advocacy. In 2014, EFFC moved away from the typical food bank model of food collection and distribution. Its programs now favor a relational long-term approach that provides food for hungry people and encourages the entire community to access nutritious food and food skills. EFFC primarily serves western Mississauga. Eden Food for Change’s Food Bank program allows individuals to pick up 7 to 10 days of food each month. In F2018, 492,599 pounds of food were distributed through the Food Bank, of which about 50% was fresh produce. In F2018, the food bank also reports that 27,567 pounds of food were shared with other organizations, and 5,320 pounds was repurposed food waste for farm and compost use. The food bank was able to facilitate 17,235 individual visits, a 28% increase from F2017 and 5,608 family visits, a 15% increase from F2017.   Eden Food for Change’s Fresh Produce Box program offers community members fruits and vegetables for pickup at discounted prices. In F2018, the program distributed 5,090 produce boxes to clients, which is down from 12,668 boxes distributed in F2017.    Finally, Eden Food for Change’s Learning Kitchen program teaches cooking skills and nutritional education to its food bank participants. The Learning Kitchen also offers cooking classes to community members, that teach basic kitchen and food preparation skills. The food that is prepared through these classes is distributed through EFFC’s Food Bank program. In F2018, 861 individuals participated in classes in groups, which produced 37,938 portions of food for the Food Bank. The Learning Kitchen also provides lunches to children from low-income neighbourhoods and employs people seeking jobs in the food service industry.",Charity Intelligence has given Eden Food for Change a Good impact rating based on demonstrated impact per dollar spent.
74,Edmonton's Food Bank,https://www.charityintelligence.ca/media/charity_logos/EFB_LOGO.jpg,5,2,A-,92%,Edmonton,AB,www.edmontonsfoodbank.com,780-425-2133,Social Services,Food banks and hunger relief,"Founded in 1981, Edmonton’s Food Bank (EFB), also known as Edmonton Gleaners Association, collects and distributes food to people in need. EFB also conducts research to find long-term solutions to the underlying causes of hunger. Edmonton’s Food Bank states that it serves more than 21,000 people each month, and around 40% of its clients are children. Edmonton’s Food Bank’s main program is food distribution. It distributes food through a variety of community programs that aim to combat food insecurity, such as Hampers, Agency Meal and Snack Programs, Emergency Bags, S.N.A.C.K Programs, After the Bell, and Beyond Food. It did not provide a spending breakdown for these programs in F2020. In F2020, Edmonton’s Food Bank distributed $25.4m in food donations and spent a further $2.1m on buying food. In total, it gave out 4.8 million kg of food during the year (4.3 million kg in F2019). EFB distributes food to more than 250 local agencies, shelters, churches, school programs, and food depots to reach people in need. This includes 80 schools that EFB works with through its S.N.A.C.K (Supporting Nutrition For All Classes And Kids) Programs. Edmonton’s Food Bank reports that it helped local agencies distribute more than 300,000 meals and snacks each month in F2020. EFB also prepares and distributes food hampers to combat food insecurity. Food hampers are specialized food supply boxes created based on each client’s needs, such as household size and dietary restrictions. Clients can also request additional supplies, including pet food, school snacks, and toiletries. In F2020, the charity provided food hampers to 60,896 people (62,323 in F2019). During the year, Edmonton’s Food Bank distributed 32,733 litres of milk (33,000 litres in F2019) and 131,040 dozen eggs (133,560 dozen in F2019). Edmonton’s Food Bank conducted surveys in 2015 and 2018 to learn more about the needs and demographics of its clients. In 2018, EFB found that only 21% of its clients were employed (down from 29% in 2015) and 75% had household incomes below $25k (up from 53% in 2015). Edmonton’s Food Bank created its Beyond Food program to address client needs and promote self-sufficiency. Beyond Food provides job skills training, computer literacy skills, first aid training, and counselling services. In F2020, EFB reached 656 clients through Beyond Food.","Edmonton’s Food Bank provides emergency food bags for the Edmonton Police Service and various social service providers that work with individuals in crisis. EFB prepares emergency bags with non-perishable items, such as canned soup, canned vegetables, peanut butter, bottled water, and juice. For certain agencies, EFB also includes feminine hygiene products, diapers, and baby formula. In F2020, EFB distributed 321 emergency bags through the police."
75,Effect Hope,https://www.charityintelligence.ca/media/charity_logos/EffectHope_Logo%20for%20Ci%20profile.png,4,0,B+,81%,Markham,ON,www.effecthope.org,1-888-537-7679,Health,Patient support and advocacy charities�,"Effect Hope is a 4-star charity with an average grade in results reporting. The charity's programs have demonstrated high impact, however, the charity is not financially transparent. The Leprosy Mission was founded in India in 1869, with the Canadian affiliate formed in Guelph, Ontario, in 1892. In 1982, the development of multi-drug therapy allowed the Leprosy Mission to expand its work from the alleviation of suffering towards a cure. In 2014, the Leprosy Mission rebranded to Effect Hope. Effect Hope is a Christian development charity with a mission to end suffering due to neglected tropical diseases (NTDs), including leprosy, buruli ulcers, lymphatic filariasis, hookworm, roundworm, and river blindness.    A Charity Intelligence 2022 Top 10 Impact Charity Effect Hope reports that NTDs affect 1 to 1.5 billion people every year. In F2021, the charity screened 633,611 people for leprosy. It also provided 619,227 children under the age of five with Vitamin A and deworming treatment.  16% of Effect Hope’s program spending is used in Canada to raise awareness about NTDs. 8% is used to manage its international programs. The remaining 76% of program spending is used in its overseas programs.    The charity carries out programs in four domains: strengthening health systems, research, activating and equipping communities, and advocacy. In collaboration with international partners, Effect Hope works in seven countries: Bangladesh, India, Liberia, Kenya, DR Congo, Côte D’Ivoire, and Nigeria. The charity works towards its mission by helping its partners set up hospitals, rural health centres, rehabilitation and vocational training centres, and community services.   In F2021, the charity trained 19,591 healthcare workers. Effect Hope reported that it provided medical treatment for 105,026 people in F2021. Effect Hope also gave financial and social support to 6,916 people and educated 42,333 people about NTDs within their communities.   Effect Hope has responded to the covid-19 pandemic by advocating for its vulnerable patients, supporting the poor with food, and now that vaccines are available, delivering vaccines. It distributed 49,470 pieces of personal protective equipment and provided covid-19 education to 30,262 people. Effect Hope also vaccinated 15,487 people against covid-19 in F2021.","Effect Hope recognized that NTDs result from and contribute to extreme poverty. Therefore, the charity follows up with the people it treats, helping them to access education, training, and support in economic activities in addition to medical support."
76,Elizabeth Fry Society of Calgary,https://elizabethfrycalgary.ca/wp-content/themes/armadillo/images/EFRY-footer-logo-v2.png,4,2,B-,92%,Calgary,AB,www.elizabethfrycalgary.ca,403-294-0737,Social Services,"Women Support Services, Child welfare, First Nations Community","Elizabeth Fry Society of Calgary is a 4-star charity. Charity Intelligence has given it an Average rating for demonstrated impact. It is financially transparent but has below-average reporting on the results of its programs. Founded in 1965, Elizabeth Fry Society of Calgary (EFry) aims to support vulnerable people involved with the criminal justice system. In particular, its services target women, children, newcomers to Canada, and Indigenous groups. The charity works to end cycles of poverty that lead to increased risks of crime, incarceration, and further financial harm. Elizabeth Fry Society of Calgary reports that 80% of incarcerated Canadian women are jailed for poverty-related crimes, nearly half of which involve inabilities to pay fines. The charity also states that Indigenous people make up 27% of admissions to federal prisons, despite comprising only 5% of the population. Elizabeth Fry Society of Calgary has not published an annual report since August 2020. The following information refers to F2019. Elizabeth Fry Society of Calgary operates seven main programs: Affordable Housing, Immigrant Legal Advocacy, Court Programs, Indigenous Cultural Supports, Legal Advocacy, Prison Community Outreach, and SAGE/Employment Readiness. EFry does not disclose how much it spent on each program. Recognizing that the court system is difficult to navigate, EFry assists clients with legal forms and connects them to legal resources. In F2019, the charity ran 3,171 court programs in Calgary. During the year, 155 newcomers accessed guidance on immigration processes through EFry’s legal advocacy programs. EFry also provided counseling and support to 1,550 people in prison, offering life skills and mentorship to aid in their transition back into society. A criminal record can lead to challenges in finding employment or housing. Through its 12-week SAGE program, EFry works to bridge the gap between release from prison and financial stability. The SAGE program supports women seeking life skills, emotional wellness, cultural connections, and planning abilities that empower them to pursue education or employment. In F2019, 23 women participated in SAGE. The charity also works with landlords and local agencies to find housing for women and their families. EFry aims to provide housing that is affordable, transit-friendly, and close to businesses where clients can find work.","Between 2015 and 2019, EFry reported that 33% of SAGE graduates found employment after the program. Furthermore, 50% of SAGE graduates upgraded their education and 33% pursued additional employment training programs. In F2019, EFry also surveyed participants in its Indigenous programs. The charity found that 88% of respondents gained confidence, 98% felt a sense of belonging, and 92% claimed that the program helped in their progress towards future goals."
77,Environmental Defence Canada,https://www.charityintelligence.ca/media/charity_logos/logo_canadaEDF.png,5,2,A,91%,Toronto,ON,www.environmentaldefence.ca,416-323-9521,Environment,"Nature conservation, Climate change","Environmental Defence Canada is a 5-star rated charity with best practice in financial transparency and strong accountability to donors as seen in the A results reporting grade. For every dollar donated to this charity, 91 cents go to the cause. This is within Ci's reasonable range for overhead spending.       Founded in 1984, Environmental Defence Canada (EDC) aims to protect Canada’s freshwater and land, decrease plastic pollution, and promote clean energy alternatives. EDC empowers individual Canadians, works with industry leaders, and advocates for new government policy to achieve these goals. The charity has five major programs: Climate and Clean Economy, Ontario: Yours to Protect, Freshwater, Plastic Pollution, and Toxic Chemicals. In F2022, 320,000 EDC supporters sent 175,000 calls and letters to governments and industry. This resulted in 12 key environmental protection wins. According to Environmental Defence Canada’s annual report, it spent $3.9m on its programs in F2022, although this includes overhead spending which is not disclosed on the charity's audited financials statements or on its T3010 filing with the CRA.        Climate and Clean Economy: In F2022, EDC allocated 68% of its program costs to its Climate and Clean Economy program. This program focuses on Canada's transition toward more sustainable energy and transportation alternatives. EDC states that Canada will experience climate change twice as fast as other parts of the world, making it Canada's largest threat. In F2022, the charity blocked the government from increasing oil and gas production. EDC also produced Car Wars, a detailed report that outlines transportation emissions. Within the report, EDC highlighted the automobile industry's preference to sell and market gas-powered vehicles. The charity also disclosed that based on its research, fossil fuel subsidies are a major federal election issue.       Ontario: Yours to Protect: In F2022, EDC allocated 12% of its program costs to its Ontario: Yours to Protect program. The federal government approved EDC's request for a federal impact assessment of highway 413 in F2022. The request received the support of 22,000 citizens and 53 scientists. The charity states this highway will add 17 million tonnes of greenhouse gas emissions by 2050, resulting in $1.4 billion in pollution damage. EDC also worked with community groups in Hamilton and Halton Ontario to stop sprawl and urban expansion in F2022.       Freshwater: In F2022, EDC allocated 9% of its program costs to its Freshwater program. In F2022, the charity published a report on why Canada does not need the Line 5 Pipeline. The charity reports that line 5 has leaked 29 times since 1953. EDC states that existing rail capacity could make up for the shortfall of supply. The charity reports that the Canada-Ontario Great Lakes Agreement included several of EDC’s recommendations. This is the ninth amendment to the agreement which was created 50 years ago.       Plastic Pollution: In F2022, EDC allocated 7% of its program costs to its Plastic Pollution program. In F2022, EDC led the effort to call on the government to take ambitious actions to reach its goal of zero plastic waste by 2030. The charity also led a plastic-free Twitter campaign in F2022 which involved 1,500 people.   Toxic Chemicals: In F2022, EDC allocated 5% of its program costs to its Toxic Chemicals program. In F2022, the charity testified before the senate to modernize the Canadian Environmental Protection Act (CEPA).",
78,EPIC Society,https://www.charityintelligence.ca/media/charity_logos/EPIC%20Logo%202018.png,5,2,A+,95%,North Sydney,NS,www.epiccharity.com,902-794-7225,Education,Schools and education institutions��,"EPIC Society is a 5-star charity with a high results reporting score. It has high impact and is one of Ci's top 10 Canadian impact charities. Its overhead costs are within Ci’s reasonable range for overhead spending, and it has reserve funds to cover program costs for ten and a half months. Founded in 1996, the Educational Program Innovations Charity (EPIC) Society aims to “advance marginalized learners through innovation, empathy, volunteerism, diversity, and partnership.” The charity’s head office is in North Sydney, Nova Scotia. EPIC focuses on the learning needs of Aboriginal, African-Canadian, and other Nova Scotia youth who lack the resources or support system needed for academic and social development. Its programs include the Youth Peer and Outreach program, Parents PEACE program, and scholarships and volunteerism awards.  A Charity Intelligence 2022 Top 10 Canadian Impact Charity EPIC’s Youth Peer & Outreach program is an after-school one-on-one mentoring and tutoring program for youth ages 8 to 18. Mentors help youth overcome personal obstacles, guiding them through social activities and academic achievements. Youth Peer runs five days a week in Sydney and three days a week online. Outreach runs one session per week in Glace Bay, Northside, and New Waterford, NS.  The four locations collectively engaged 93 youth in 6,564 total hours of positive social and academic activities in F2022. The total number of tutor-mentor interactions over the 2021-2022 school year was 1,641. EPIC Society’s Parents PEACE program is a weekly parenting workshop for caregivers with school-aged children. In F2022, an average of five caregivers attended sessions each week. During the year, guest speakers covered topics such as anxiety, mental health services, and gender identity.  The charity also helps underprivileged youth by providing scholarships and volunteer awards. In F2022, EPIC Society awarded four graduating high school students $500 each. The charity also provided two volunteerism awards worth $500 each to graduating post-secondary students. In F2022, EPIC Society also awarded one student its $500 Humanity Award.",EPIC society reports that over 90% of the youth it served in F2022 were socially and academically at high risk.
